word	pos	pos2	phoneme	politeness	tense	tag	alt	alt2	restriction
가	EF		NUL				냐/EF		*/VCP|*VCN
간디	EC		NUL			방언	관데/EC		
거나	EC		NUL			선택			
거나	EC		NUL						
거늘	EC		NUL						
거늘	EC		NUL			사실&의문&인정			
거니	EC		NUL						
거니	EC		NUL						
거니	EF		NUL	해라체					
거니와	EC		NUL			예스러움	으려니와/EC		
거니와	EC		NUL			예스러움	으려니와/EC		
거던	EF		NUL	해체		비표준	거든/EF		
거드면	EC		NUL			예스러움			
거든	EC		NUL						
거든	EC		NUL						
거든	EF		NUL	해체					
거든	EF		NUL						
거들랑	EC		NUL						
거들랑	EF		NUL	해체		사실			
거라	EF		NUL	해라체		명령	어라/EF		*/VV
건	EC		NUL				거나/EC		
건	EC		NUL				거나/EC		
건	EF		NUL				거든/EF		
건대	EC		NUL						*/VV
건대	EC		NUL			예스러움&비표준	관데/EC		
건마는	EC		NUL			실망		건만/EC	
건만	EC		NUL			실망	건마는/EC		
걸랑	EC		NUL				거들랑/EC		
걸랑	EF		NUL				거들랑/EF		
것다	EF		NUL	해라체		옛스러움&(추측|다짐)			
것마는	EC		NUL			실망&비표준	건마는/EC		
겄	EP		NUL						
게	EC		NUL						
게	EF		NUL	해체					
게	EP		NUL			방언			
게겐	EF		NUL			방언	자꾸나/EF		
게끔	EC		NUL			강조	게/EC		*/VV|*/EP
게나	EF		NUL						*/VV|*/EP
게도	EC		NUL						
게르	EC		NUL			방언	게/EC		
게르	EF		NUL			방언	게/EF		
게시리	EC		NUL			강조&비표준	게/EC		*/VV|*/EP
겐	EF		NUL			방언	자고/EF		
겠	EP		NUL		미래				
겠	EP		NUL						
겠	EP		NUL						
겠	EP		NUL						
겠	EP		NUL						
고	EC		NUL						
고	EC		NUL				고서/EC		*/VV|*/EP
고	EC		NUL						*/VV|*/EP
고	EC		NUL						
고	EC		NUL			강조			*/VA
고	EC		NUL						
고	EF		NUL	해체					
고	EF		NUL	해체		명령			*/VV
고는	EC		NUL						*/VV
고는	EC		NUL						
고도	EC		NUL						
고말고	EF		NUL			강조			
고서	EC		NUL			강조			
고서	EC		NUL						
고야	EC		NUL			강조			*/VV
고자	EC		NUL						
고장	EC		NUL			방언	고자/EC		
고저	EC		NUL			비표준	고자/EC		
곤	EC		NUL				고는/EC		
관데	EC		NUL			예스러움			
구나	EF		NUL	해라체					
구래	EF		NUL			방언	구려/EF		
구려	EF		NUL	하오체		감탄			
구려	EF		NUL	하오체					
구로	EC		NUL			방언	게/EC		
구로	EF		NUL			방언	게/EF		
구료	EF		NUL	하오체		비표준&감탄	구려/EC		
구료	EF		NUL	하오체		비표준	구려/EF		
구마는	EC		NUL			방언	건마는/EC		
구만	EF		NUL			비표준	구먼/EF		
구먼	EF		NUL						
구면	EF		NUL			비표준	구먼/EF		
군	EF		NUL	해체		감탄			*/VCP|*VCN|*VA
군	EF		NUL				구나/EF		
